OS,Total
linuxia64,613
linuxintel,36293
linuxinteldeb,327594
linuxintellangpack,4659
linuxintellangpackdeb,1859
linuxintelwjre,104531
linuxx86-64,7891
linuxx86-64_langpack,83
linuxx86-64deb,13364
linuxx86-64langpackdeb,261
linuxx86-64wjre,1231
macosxintel,222034
macosxintelaqua,4668
macosxppc,43665
solarissparc,329
solarissparclangpack,39
solarissparcwjre,2071
solarisx86,623
solarisx86langpack,30
solarisx86wjre,5506
src_bzip,6830
win,863206
winlangpack,43489
winwjre,5724451
